"Los Angeles, Calif.",38894,15579,7599,23315,149.7,7980,105.0,3.1,2.7,2.4,107.6,79.1
"Newark, N. J.",38880,16977,9475,21903,129.0,7502,79.2,8.8,4.1,2.7,1.4,17.6
"Dallas, Tex.",38742,24023,18024,14719,61.3,5999,33.3,14.9,15.1,19.6,63.4,82.2
"Kansas City, Mo.",38574,30719,23566,7855,25.6,7153,30.4,9.6,9.5,9.5,22.7,30.6
"Chattanooga, Tenn.",33289,18889,17942,14400,76.2,947,5.3,27.8,32.6,40.2,121.8,46.3
"Columbus, Ohio.",32774,22181,12739,10593,47.8,9442,74.1,11.3,9.4,7.0,20.0,27.3
"Winston-Salem, N. C.",32566,20735,9087,11831,57.1,11648,128.2,43.3,42.8,40.0,54.5,103.2
"Montgomery, Ala.",29970,19827,19322,10143,51.2,505,2.6,45.4,45.6,50.7,52.8,25.7
"Charleston, S. C.",28062,32326,31056,-4264,-13.2,1270,4.1,45.1,47.6,52.8,-4.0,28.2
"Shreveport, La.",27219,17485,13896,9734,55.7,3589,25.8,35.5,39.9,49.6,86.9,87.0
"Charlotte, N. C.",25163,14641,11752,10522,71.9,2889,24.6,30.4,31.6,34.6,81.4,42.4
"Miami, Fla.",25116,9270,2258,15846,170.9,7012,310.5,22.7,31.3,41.3,321.6,531.6
"Mobile, Ala.",24614,23906,22763,608,2.5,1143,5.0,35.9,39.3,44.2,18.3,28.2
"Augusta, Ga.",24190,22582,18344,1608,7.1,4238,23.1,40.1,43.0,44.7,20.4,32.0
"Macon, Ga.",23158,23093,18150,65,.3,4943,27.2,43.0,43.6,44.6,2.6,32.8
"Fort Worth, Tex.",22234,15896,13280,6338,39.9,2616,19.7,13.6,14.9,18.1,59.5,50.9
"Tampa, Fla.",21172,11531,8951,9641,83.6,2580,28.8,20.9,22.3,23.7,99.5,39.1
"Boston, Mass.",20574,16350,13564,4224,25.8,2786,20.5,2.6,2.2,2.0,3.9,11.4
"Kansas City, Kans.",19872,14405,9286,5467,38.0,5119,55.1,16.3,14.2,11.3,17.0,18.8
"Little Rock, Ark.",19698,17477,14539,2221,12.7,2938,20.2,24.1,26.8,31.6,30.0,51.8
"Columbia, S. C.",19519,14455,11546,5064,35.0,2909,25.2,37.8,38.5,43.9,38.9,56.2
"Jackson, Miss.",19423,9936,10554,9487,95.5,-618,-5.9,40.2,43.5,49.6,124.0,20.3
"Portsmouth, Va.",18849,23245,11617,-4396,-18.9,11628,100.1,41.2,42.7,35.0,-13.9,44.2
"Durham, N. C.",18717,7654,6869,11063,144.5,785,11.4,36.0,35.2,37.7,136.9,23.6
"Beaumont, Tex.",18551,13210,6896,5341,40.4,6314,91.6,32.1,32.7,33.4,41.6,98.0
"San Antonio, Tex.",17978,14341,10716,3637,25.4,3625,33.8,7.8,8.9,11.1,24.1,71.1
"Gary, Ind.",17922,5299,383,12623,238.2,4916,1283.6,17.8,9.6,2.3,58.4,205.1
"Knoxville, Tenn.",17093,11302,7638,5791,51.2,3664,48.0,16.2,14.5,21.0,33.4,131.7
"Dayton, Ohio.",17077,9025,4842,8052,89.2,4183,86.4,8.5,5.9,4.2,28.1,28.5
"Atlantic City, N. J.",15611,10946,9834,4665,42.6,1112,11.3,23.6,21.6,21.3,27.3,9.5
"Tulsa, Okla.",15203,8878,1959,6325,71.2,6919,353.2,10.8,12.3,10.8,97.6,292.7
"Oklahoma City, Okla.",14662,8241,6546,6421,77.9,1695,25.9,7.9,9.0,10.2,106.1,44.1
"Youngstown, Ohio.",14552,6662,1936,7890,118.4,4726,244.1,8.6,5.0,2.4,23.6,62.9
"Asheville, N. C.",14255,7145,5359,7110,99.5,1786,33.3,28.4,25.1,28.6,68.3,59.3
"Columbus, Ga.",14157,9093,3644,5064,55.7,1449,19.0,32.8,29.2,37.2,31.5,70.7
"Greensboro, N. C.",14050,5973,5710,8077,135.2,263,4.6,26.2,30.1,35.9,184.6,36.4
"Buffalo, N. Y.",13563,4511,1773,9052,200.7,2738,154.4,2.4,.9,.4,11.3,19.0
"Newport News, Va.",13281,14077,7259,-796,-5.7,6818,93.9,38.6,39.5,35.9,-1.6,66.0
"Toledo, Ohio.",13260,5691,1877,7569,133.0,3814,203.2,4.6,2.3,1.1,16.7,42.5
"Galveston, Tex.",13226,9888,8036,3338,33.8,1852,23.0,25.0,22.3,21.7,8.0,18.8
"Wilmington, N. C.",13106,13461,12107,-355,-2.6,1354,11.2,40.6,40.3,47.0,-3.7,46.0
"Lexington, Ky.",12759,12450,11011,309,2.5,1439,13.1,27.9,30.0,31.4,13.4,20.8
"Petersburg, Va.",12600,13608,11014,-1008,-7.4,2594,23.6,44.1,43.9,45.7,-8.2,32.7
"Jersey City, N. J.",12575,8000,5960,4575,57.2,2040,34.2,4.0,2.7,2.2,4.8,10.8
"Raleigh, N. C.",12575,8544,7372,4031,47.2,1172,15.9,33.6,35.0,38.4,56.2,34.0
"Roanoke, Va.",12368,9331,7924,3037,32.5,1407,17.8,17.9,18.4,22.7,37.0,54.0
"Wilmington, Del.",12080,10746,9081,1334,12.4,1665,18.3,11.3,9.8,10.4,-5.0,26.9
"Vicksburg, Miss.",11915,9148,12053,2767,30.2,-2905,-24.1,51.9,50.6,57.9,23.5,1.9
"Bessemer, Ala.",11691,10561,6210,1130,10.7,4351,70.1,56.4,56.6,57.2,11.3,74.5
"East St. Louis, Ill.",11536,7437,5882,4099,55.1,1555,26.4,15.5,11.1,10.0,5.8,12.6
"Meridian, Miss.",11352,8343,9321,3009,36.1,-978,-10.5,35.5,35.7,40.0,36.9,7.8
"Camden, N. J.",11340,8500,6076,2840,33.4,2424,39.9,9.6,7.3,6.4,-0.4,21.9
"Omaha, Nebr.",11123,10315,5143,808,7.8,5172,100.6,5.2,5.4,3.4,11.8,24.9
"Akron, Ohio.",11080,5580,657,5500,98.6,4923,749.3,4.3,2.7,1.0,20.2,196.4
"Greenville, S. C.",10871,8184,6319,2687,32.8,1865,29.5,37.3,35.4,40.1,22.3,58.6
"Baton Rouge, La.",10675,8560,7899,2115,24.7,661,8.4,34.7,39.3,53.0,51.7,89.2
"Monroe, La.",10112,5540,5320,4572,82.5,220,4.1,38.9,43.7,52.1,122.2,46.0
"Port Arthur, Tex.",10003,3910,1493,6093,155.8,2417,161.9,19.7,17.6,19.5,112.7,197.2
